,region,year,sex,status,percentage
1953,Ostrobothnia,2018,female,"Students, as % of total population",6.9
1954,Ostrobothnia,2018,male,"Employed, as % of total population",45.2
1955,Ostrobothnia,2018,male,"Students, as % of total population",7.4
1956,Ostrobothnia,2019,combined,"Employed, as % of total population",44.0
1957,Ostrobothnia,2019,combined,"Students, as % of total population",7.4
1958,Ostrobothnia,2019,female,"Employed, as % of total population",43.1
1959,Ostrobothnia,2019,female,"Students, as % of total population",7.0
1960,Ostrobothnia,2019,male,"Employed, as % of total population",44.9
1961,Ostrobothnia,2019,male,"Students, as % of total population",7.8
1962,Ostrobothnia,2020,combined,"Employed, as % of total population",41.9
1963,Ostrobothnia,2020,combined,"Students, as % of total population",7.8
1964,Ostrobothnia,2020,female,"Employed, as % of total population",41.4
1965,Ostrobothnia,2020,female,"Students, as % of total population",7.5
1966,Ostrobothnia,2020,male,"Employed, as % of total population",42.4
1967,Ostrobothnia,2020,male,"Students, as % of total population",8.1
1968,Ostrobothnia,2021,combined,"Employed, as % of total population",44.2
1969,Ostrobothnia,2021,combined,"Students, as % of total population",7.7
1970,Ostrobothnia,2021,female,"Employed, as % of total population",43.2
1971,Ostrobothnia,2021,female,"Students, as % of total population",7.4
1972,Ostrobothnia,2021,male,"Employed, as % of total population",45.2
1973,Ostrobothnia,2021,male,"Students, as % of total population",8.0
1974,Ostrobothnia,2022,combined,"Employed, as % of total population",44.7
1975,Ostrobothnia,2022,combined,"Students, as % of total population",7.6
1976,Ostrobothnia,2022,female,"Employed, as % of total population",43.7
1977,Ostrobothnia,2022,female,"Students, as % of total population",7.2
1978,Ostrobothnia,2022,male,"Employed, as % of total population",45.7
1979,Ostrobothnia,2022,male,"Students, as % of total population",7.9
1980,Pirkanmaa,1990,combined,"Employed, as % of total population",45.8
1981,Pirkanmaa,1990,combined,"Students, as % of total population",6.6
1982,Pirkanmaa,1990,female,"Employed, as % of total population",42.4
1983,Pirkanmaa,1990,female,"Students, as % of total population",6.9
1984,Pirkanmaa,1990,male,"Employed, as % of total population",49.4
1985,Pirkanmaa,1990,male,"Students, as % of total population",6.2
1986,Pirkanmaa,1991,combined,"Employed, as % of total population",41.8
1987,Pirkanmaa,1991,combined,"Students, as % of total population",7.1
1988,Pirkanmaa,1991,female,"Employed, as % of total population",39.4
1989,Pirkanmaa,1991,female,"Students, as % of total population",7.4
1990,Pirkanmaa,1991,male,"Employed, as % of total population",44.3
1991,Pirkanmaa,1991,male,"Students, as % of total population",6.7
1992,Pirkanmaa,1992,combined,"Employed, as % of total population",38.7
1993,Pirkanmaa,1992,combined,"Students, as % of total population",7.4
1994,Pirkanmaa,1992,female,"Employed, as % of total population",36.6
1995,Pirkanmaa,1992,female,"Students, as % of total population",7.6
1996,Pirkanmaa,1992,male,"Employed, as % of total population",41.0
1997,Pirkanmaa,1992,male,"Students, as % of total population",7.2
1998,Pirkanmaa,1993,combined,"Employed, as % of total population",36.0
1999,Pirkanmaa,1993,combined,"Students, as % of total population",8.2
2000,Pirkanmaa,1993,female,"Employed, as % of total population",33.7
2001,Pirkanmaa,1993,female,"Students, as % of total population",8.6
2002,Pirkanmaa,1993,male,"Employed, as % of total population",38.5
2003,Pirkanmaa,1993,male,"Students, as % of total population",7.9
2004,Pirkanmaa,1994,combined,"Employed, as % of total population",37.1
2005,Pirkanmaa,1994,combined,"Students, as % of total population",8.5
2006,Pirkanmaa,1994,female,"Employed, as % of total population",34.2
2007,Pirkanmaa,1994,female,"Students, as % of total population",8.8
2008,Pirkanmaa,1994,male,"Employed, as % of total population",40.2
2009,Pirkanmaa,1994,male,"Students, as % of total population",8.2
2010,Pirkanmaa,1995,combined,"Employed, as % of total population",37.6
2011,Pirkanmaa,1995,combined,"Students, as % of total population",8.7
2012,Pirkanmaa,1995,female,"Employed, as % of total population",34.5
2013,Pirkanmaa,1995,female,"Students, as % of total population",9.0
2014,Pirkanmaa,1995,male,"Employed, as % of total population",41.0
2015,Pirkanmaa,1995,male,"Students, as % of total population",8.4
2016,Pirkanmaa,1996,combined,"Employed, as % of total population",37.9
2017,Pirkanmaa,1996,combined,"Students, as % of total population",8.3
2018,Pirkanmaa,1996,female,"Employed, as % of total population",34.8
2019,Pirkanmaa,1996,female,"Students, as % of total population",8.5
2020,Pirkanmaa,1996,male,"Employed, as % of total population",41.2
2021,Pirkanmaa,1996,male,"Students, as % of total population",8.0
2022,Pirkanmaa,1997,combined,"Employed, as % of total population",39.4
2023,Pirkanmaa,1997,combined,"Students, as % of total population",8.4
2024,Pirkanmaa,1997,female,"Employed, as % of total population",36.0
2025,Pirkanmaa,1997,female,"Students, as % of total population",8.8
2026,Pirkanmaa,1997,male,"Employed, as % of total population",43.0
2027,Pirkanmaa,1997,male,"Students, as % of total population",8.1
2028,Pirkanmaa,1998,combined,"Employed, as % of total population",41.3
2029,Pirkanmaa,1998,combined,"Students, as % of total population",7.7
2030,Pirkanmaa,1998,female,"Employed, as % of total population",37.9
2031,Pirkanmaa,1998,female,"Students, as % of total population",7.9
2032,Pirkanmaa,1998,male,"Employed, as % of total population",44.9
2033,Pirkanmaa,1998,male,"Students, as % of total population",7.4
2034,Pirkanmaa,1999,combined,"Employed, as % of total population",41.9
2035,Pirkanmaa,1999,combined,"Students, as % of total population",7.5
2036,Pirkanmaa,1999,female,"Employed, as % of total population",38.5
2037,Pirkanmaa,1999,female,"Students, as % of total population",7.7
2038,Pirkanmaa,1999,male,"Employed, as % of total population",45.4
2039,Pirkanmaa,1999,male,"Students, as % of total population",7.3
2040,Pirkanmaa,2000,combined,"Employed, as % of total population",42.8
2041,Pirkanmaa,2000,combined,"Students, as % of total population",7.5
2042,Pirkanmaa,2000,female,"Employed, as % of total population",39.4
2043,Pirkanmaa,2000,female,"Students, as % of total population",7.6
2044,Pirkanmaa,2000,male,"Employed, as % of total population",46.4
2045,Pirkanmaa,2000,male,"Students, as % of total population",7.3
2046,Pirkanmaa,2001,combined,"Employed, as % of total population",42.9
2047,Pirkanmaa,2001,combined,"Students, as % of total population",7.4
2048,Pirkanmaa,2001,female,"Employed, as % of total population",39.8
2049,Pirkanmaa,2001,female,"Students, as % of total population",7.6
2050,Pirkanmaa,2001,male,"Employed, as % of total population",46.1
2051,Pirkanmaa,2001,male,"Students, as % of total population",7.3
2052,Pirkanmaa,2002,combined,"Employed, as % of total population",43.0
2053,Pirkanmaa,2002,combined,"Students, as % of total population",7.7
2054,Pirkanmaa,2002,female,"Employed, as % of total population",40.2
2055,Pirkanmaa,2002,female,"Students, as % of total population",7.7
2056,Pirkanmaa,2002,male,"Employed, as % of total population",45.9
2057,Pirkanmaa,2002,male,"Students, as % of total population",7.6
2058,Pirkanmaa,2003,combined,"Employed, as % of total population",42.9
2059,Pirkanmaa,2003,combined,"Students, as % of total population",7.7
2060,Pirkanmaa,2003,female,"Employed, as % of total population",40.2
2061,Pirkanmaa,2003,female,"Students, as % of total population",7.7
2062,Pirkanmaa,2003,male,"Employed, as % of total population",45.6
2063,Pirkanmaa,2003,male,"Students, as % of total population",7.8
2064,Pirkanmaa,2004,combined,"Employed, as % of total population",43.3
2065,Pirkanmaa,2004,combined,"Students, as % of total population",7.7
2066,Pirkanmaa,2004,female,"Employed, as % of total population",40.7
2067,Pirkanmaa,2004,female,"Students, as % of total population",7.6
2068,Pirkanmaa,2004,male,"Employed, as % of total population",46.0
2069,Pirkanmaa,2004,male,"Students, as % of total population",7.8
2070,Pirkanmaa,2005,combined,"Employed, as % of total population",43.3
2071,Pirkanmaa,2005,combined,"Students, as % of total population",8.1
2072,Pirkanmaa,2005,female,"Employed, as % of total population",40.8
2073,Pirkanmaa,2005,female,"Students, as % of total population",8.1
2074,Pirkanmaa,2005,male,"Employed, as % of total population",46.0
2075,Pirkanmaa,2005,male,"Students, as % of total population",8.2
2076,Pirkanmaa,2006,combined,"Employed, as % of total population",44.3
2077,Pirkanmaa,2006,combined,"Students, as % of total population",8.0
2078,Pirkanmaa,2006,female,"Employed, as % of total population",41.7
2079,Pirkanmaa,2006,female,"Students, as % of total population",8.0
2080,Pirkanmaa,2006,male,"Employed, as % of total population",47.0
2081,Pirkanmaa,2006,male,"Students, as % of total population",8.0
2082,Pirkanmaa,2007,combined,"Employed, as % of total population",45.0
2083,Pirkanmaa,2007,combined,"Students, as % of total population",7.9
2084,Pirkanmaa,2007,female,"Employed, as % of total population",42.6
2085,Pirkanmaa,2007,female,"Students, as % of total population",7.9
2086,Pirkanmaa,2007,male,"Employed, as % of total population",47.6
2087,Pirkanmaa,2007,male,"Students, as % of total population",7.8
2088,Pirkanmaa,2008,combined,"Employed, as % of total population",44.7
2089,Pirkanmaa,2008,combined,"Students, as % of total population",7.7
2090,Pirkanmaa,2008,female,"Employed, as % of total population",42.9
2091,Pirkanmaa,2008,female,"Students, as % of total population",7.6
2092,Pirkanmaa,2008,male,"Employed, as % of total population",46.5
2093,Pirkanmaa,2008,male,"Students, as % of total population",7.8
2094,Pirkanmaa,2009,combined,"Employed, as % of total population",42.0
2095,Pirkanmaa,2009,combined,"Students, as % of total population",8.1
2096,Pirkanmaa,2009,female,"Employed, as % of total population",41.3
2097,Pirkanmaa,2009,female,"Students, as % of total population",7.9
2098,Pirkanmaa,2009,male,"Employed, as % of total population",42.8
2099,Pirkanmaa,2009,male,"Students, as % of total population",8.4
2100,Pirkanmaa,2010,combined,"Employed, as % of total population",42.8
2101,Pirkanmaa,2010,combined,"Students, as % of total population",8.1
2102,Pirkanmaa,2010,female,"Employed, as % of total population",41.8
2103,Pirkanmaa,2010,female,"Students, as % of total population",7.9
2104,Pirkanmaa,2010,male,"Employed, as % of total population",43.8
2105,Pirkanmaa,2010,male,"Students, as % of total population",8.4
2106,Pirkanmaa,2011,combined,"Employed, as % of total population",43.4
2107,Pirkanmaa,2011,combined,"Students, as % of total population",7.8
2108,Pirkanmaa,2011,female,"Employed, as % of total population",42.2
2109,Pirkanmaa,2011,female,"Students, as % of total population",7.5
2110,Pirkanmaa,2011,male,"Employed, as % of total population",44.7
2111,Pirkanmaa,2011,male,"Students, as % of total population",8.1
2112,Pirkanmaa,2012,combined,"Employed, as % of total population",42.8
2113,Pirkanmaa,2012,combined,"Students, as % of total population",7.7
2114,Pirkanmaa,2012,female,"Employed, as % of total population",42.1
2115,Pirkanmaa,2012,female,"Students, as % of total population",7.4
2116,Pirkanmaa,2012,male,"Employed, as % of total population",43.6
2117,Pirkanmaa,2012,male,"Students, as % of total population",8.1
2118,Pirkanmaa,2013,combined,"Employed, as % of total population",41.5
2119,Pirkanmaa,2013,combined,"Students, as % of total population",7.8
2120,Pirkanmaa,2013,female,"Employed, as % of total population",41.0
2121,Pirkanmaa,2013,female,"Students, as % of total population",7.4
2122,Pirkanmaa,2013,male,"Employed, as % of total population",42.1
2123,Pirkanmaa,2013,male,"Students, as % of total population",8.2
2124,Pirkanmaa,2014,combined,"Employed, as % of total population",40.8
2125,Pirkanmaa,2014,combined,"Students, as % of total population",7.8
2126,Pirkanmaa,2014,female,"Employed, as % of total population",40.6
2127,Pirkanmaa,2014,female,"Students, as % of total population",7.5
2128,Pirkanmaa,2014,male,"Employed, as % of total population",41.0
2129,Pirkanmaa,2014,male,"Students, as % of total population",8.1
2130,Pirkanmaa,2015,combined,"Employed, as % of total population",40.5
2131,Pirkanmaa,2015,combined,"Students, as % of total population",7.7
2132,Pirkanmaa,2015,female,"Employed, as % of total population",40.1
2133,Pirkanmaa,2015,female,"Students, as % of total population",7.4
2134,Pirkanmaa,2015,male,"Employed, as % of total population",40.9
2135,Pirkanmaa,2015,male,"Students, as % of total population",8.0
2136,Pirkanmaa,2016,combined,"Employed, as % of total population",40.6
2137,Pirkanmaa,2016,combined,"Students, as % of total population",7.8
2138,Pirkanmaa,2016,female,"Employed, as % of total population",40.1
2139,Pirkanmaa,2016,female,"Students, as % of total population",7.5
2140,Pirkanmaa,2016,male,"Employed, as % of total population",41.2
2141,Pirkanmaa,2016,male,"Students, as % of total population",8.1
2142,Pirkanmaa,2017,combined,"Employed, as % of total population",42.0
2143,Pirkanmaa,2017,combined,"Students, as % of total population",7.6
2144,Pirkanmaa,2017,female,"Employed, as % of total population",41.1
2145,Pirkanmaa,2017,female,"Students, as % of total population",7.3
2146,Pirkanmaa,2017,male,"Employed, as % of total population",42.9
2147,Pirkanmaa,2017,male,"Students, as % of total population",7.9
2148,Pirkanmaa,2018,combined,"Employed, as % of total population",43.1
2149,Pirkanmaa,2018,combined,"Students, as % of total population",7.5
2150,Pirkanmaa,2018,female,"Employed, as % of total population",42.1
2151,Pirkanmaa,2018,female,"Students, as % of total population",7.3
2152,Pirkanmaa,2018,male,"Employed, as % of total population",44.0
2153,Pirkanmaa,2018,male,"Students, as % of total population",7.7
2154,Pirkanmaa,2019,combined,"Employed, as % of total population",42.9
2155,Pirkanmaa,2019,combined,"Students, as % of total population",7.8
2156,Pirkanmaa,2019,female,"Employed, as % of total population",42.0
2157,Pirkanmaa,2019,female,"Students, as % of total population",7.6
2158,Pirkanmaa,2019,male,"Employed, as % of total population",43.8
2159,Pirkanmaa,2019,male,"Students, as % of total population",7.9
2160,Pirkanmaa,2020,combined,"Employed, as % of total population",41.6
2161,Pirkanmaa,2020,combined,"Students, as % of total population",8.2
2162,Pirkanmaa,2020,female,"Employed, as % of total population",41.1
2163,Pirkanmaa,2020,female,"Students, as % of total population",8.1
2164,Pirkanmaa,2020,male,"Employed, as % of total population",42.1
2165,Pirkanmaa,2020,male,"Students, as % of total population",8.2
2166,Pirkanmaa,2021,combined,"Employed, as % of total population",43.6
2167,Pirkanmaa,2021,combined,"Students, as % of total population",8.2
2168,Pirkanmaa,2021,female,"Employed, as % of total population",42.5
2169,Pirkanmaa,2021,female,"Students, as % of total population",8.3
2170,Pirkanmaa,2021,male,"Employed, as % of total population",44.7
2171,Pirkanmaa,2021,male,"Students, as % of total population",8.2
2172,Pirkanmaa,2022,combined,"Employed, as % of total population",44.5
2173,Pirkanmaa,2022,combined,"Students, as % of total population",8.1
2174,Pirkanmaa,2022,female,"Employed, as % of total population",43.3
2175,Pirkanmaa,2022,female,"Students, as % of total population",8.2
2176,Pirkanmaa,2022,male,"Employed, as % of total population",45.6
2177,Pirkanmaa,2022,male,"Students, as % of total population",8.1
2178,Päijät-Häme,1990,combined,"Employed, as % of total population",46.9
2179,Päijät-Häme,1990,combined,"Students, as % of total population",6.3
2180,Päijät-Häme,1990,female,"Employed, as % of total population",43.8
2181,Päijät-Häme,1990,female,"Students, as % of total population",6.6
2182,Päijät-Häme,1990,male,"Employed, as % of total population",50.2
2183,Päijät-Häme,1990,male,"Students, as % of total population",6.0
2184,Päijät-Häme,1991,combined,"Employed, as % of total population",42.4
2185,Päijät-Häme,1991,combined,"Students, as % of total population",6.9
2186,Päijät-Häme,1991,female,"Employed, as % of total population",40.2
2187,Päijät-Häme,1991,female,"Students, as % of total population",7.2
2188,Päijät-Häme,1991,male,"Employed, as % of total population",44.7
2189,Päijät-Häme,1991,male,"Students, as % of total population",6.5
2190,Päijät-Häme,1992,combined,"Employed, as % of total population",38.9
2191,Päijät-Häme,1992,combined,"Students, as % of total population",7.1
2192,Päijät-Häme,1992,female,"Employed, as % of total population",37.3
2193,Päijät-Häme,1992,female,"Students, as % of total population",7.3
2194,Päijät-Häme,1992,male,"Employed, as % of total population",40.6
2195,Päijät-Häme,1992,male,"Students, as % of total population",6.8
2196,Päijät-Häme,1993,combined,"Employed, as % of total population",35.6
2197,Päijät-Häme,1993,combined,"Students, as % of total population",7.9
2198,Päijät-Häme,1993,female,"Employed, as % of total population",33.8
2199,Päijät-Häme,1993,female,"Students, as % of total population",8.3
2200,Päijät-Häme,1993,male,"Employed, as % of total population",37.5
2201,Päijät-Häme,1993,male,"Students, as % of total population",7.5
2202,Päijät-Häme,1994,combined,"Employed, as % of total population",36.4
2203,Päijät-Häme,1994,combined,"Students, as % of total population",7.9
2204,Päijät-Häme,1994,female,"Employed, as % of total population",34.2
2205,Päijät-Häme,1994,female,"Students, as % of total population",8.2
2206,Päijät-Häme,1994,male,"Employed, as % of total population",38.8
2207,Päijät-Häme,1994,male,"Students, as % of total population",7.6
2208,Päijät-Häme,1995,combined,"Employed, as % of total population",36.8
2209,Päijät-Häme,1995,combined,"Students, as % of total population",8.2
2210,Päijät-Häme,1995,female,"Employed, as % of total population",34.3
2211,Päijät-Häme,1995,female,"Students, as % of total population",8.6
2212,Päijät-Häme,1995,male,"Employed, as % of total population",39.5
2213,Päijät-Häme,1995,male,"Students, as % of total population",7.7
2214,Päijät-Häme,1996,combined,"Employed, as % of total population",36.9
2215,Päijät-Häme,1996,combined,"Students, as % of total population",7.5
2216,Päijät-Häme,1996,female,"Employed, as % of total population",34.3
2217,Päijät-Häme,1996,female,"Students, as % of total population",7.7
2218,Päijät-Häme,1996,male,"Employed, as % of total population",39.6
2219,Päijät-Häme,1996,male,"Students, as % of total population",7.4
2220,Päijät-Häme,1997,combined,"Employed, as % of total population",38.6
2221,Päijät-Häme,1997,combined,"Students, as % of total population",7.8
2222,Päijät-Häme,1997,female,"Employed, as % of total population",35.6
2223,Päijät-Häme,1997,female,"Students, as % of total population",7.9
2224,Päijät-Häme,1997,male,"Employed, as % of total population",41.7
2225,Päijät-Häme,1997,male,"Students, as % of total population",7.6
2226,Päijät-Häme,1998,combined,"Employed, as % of total population",40.0
2227,Päijät-Häme,1998,combined,"Students, as % of total population",7.2
2228,Päijät-Häme,1998,female,"Employed, as % of total population",37.1
2229,Päijät-Häme,1998,female,"Students, as % of total population",7.3
2230,Päijät-Häme,1998,male,"Employed, as % of total population",43.2
2231,Päijät-Häme,1998,male,"Students, as % of total population",7.0
2232,Päijät-Häme,1999,combined,"Employed, as % of total population",40.8
2233,Päijät-Häme,1999,combined,"Students, as % of total population",7.0
2234,Päijät-Häme,1999,female,"Employed, as % of total population",37.7
2235,Päijät-Häme,1999,female,"Students, as % of total population",7.2
2236,Päijät-Häme,1999,male,"Employed, as % of total population",44.1
2237,Päijät-Häme,1999,male,"Students, as % of total population",6.7
2238,Päijät-Häme,2000,combined,"Employed, as % of total population",41.8
2239,Päijät-Häme,2000,combined,"Students, as % of total population",6.7
2240,Päijät-Häme,2000,female,"Employed, as % of total population",38.6
2241,Päijät-Häme,2000,female,"Students, as % of total population",6.9
2242,Päijät-Häme,2000,male,"Employed, as % of total population",45.2
2243,Päijät-Häme,2000,male,"Students, as % of total population",6.4
2244,Päijät-Häme,2001,combined,"Employed, as % of total population",41.5
2245,Päijät-Häme,2001,combined,"Students, as % of total population",6.8
2246,Päijät-Häme,2001,female,"Employed, as % of total population",38.7
2247,Päijät-Häme,2001,female,"Students, as % of total population",7.1
2248,Päijät-Häme,2001,male,"Employed, as % of total population",44.6
2249,Päijät-Häme,2001,male,"Students, as % of total population",6.5
2250,Päijät-Häme,2002,combined,"Employed, as % of total population",41.6
2251,Päijät-Häme,2002,combined,"Students, as % of total population",7.0
2252,Päijät-Häme,2002,female,"Employed, as % of total population",39.2
2253,Päijät-Häme,2002,female,"Students, as % of total population",7.2
2254,Päijät-Häme,2002,male,"Employed, as % of total population",44.2
2255,Päijät-Häme,2002,male,"Students, as % of total population",6.7
2256,Päijät-Häme,2003,combined,"Employed, as % of total population",41.6
2257,Päijät-Häme,2003,combined,"Students, as % of total population",6.8
2258,Päijät-Häme,2003,female,"Employed, as % of total population",39.2
2259,Päijät-Häme,2003,female,"Students, as % of total population",7.0
2260,Päijät-Häme,2003,male,"Employed, as % of total population",44.2
2261,Päijät-Häme,2003,male,"Students, as % of total population",6.6
2262,Päijät-Häme,2004,combined,"Employed, as % of total population",41.9
2263,Päijät-Häme,2004,combined,"Students, as % of total population",6.7
2264,Päijät-Häme,2004,female,"Employed, as % of total population",39.6
2265,Päijät-Häme,2004,female,"Students, as % of total population",6.8
2266,Päijät-Häme,2004,male,"Employed, as % of total population",44.3
2267,Päijät-Häme,2004,male,"Students, as % of total population",6.6
2268,Päijät-Häme,2005,combined,"Employed, as % of total population",41.2
2269,Päijät-Häme,2005,combined,"Students, as % of total population",7.3
2270,Päijät-Häme,2005,female,"Employed, as % of total population",38.6
2271,Päijät-Häme,2005,female,"Students, as % of total population",7.4
2272,Päijät-Häme,2005,male,"Employed, as % of total population",44.0
2273,Päijät-Häme,2005,male,"Students, as % of total population",7.2
2274,Päijät-Häme,2006,combined,"Employed, as % of total population",41.8
2275,Päijät-Häme,2006,combined,"Students, as % of total population",7.3
2276,Päijät-Häme,2006,female,"Employed, as % of total population",39.1
2277,Päijät-Häme,2006,female,"Students, as % of total population",7.4
2278,Päijät-Häme,2006,male,"Employed, as % of total population",44.8
2279,Päijät-Häme,2006,male,"Students, as % of total population",7.2
2280,Päijät-Häme,2007,combined,"Employed, as % of total population",42.9
2281,Päijät-Häme,2007,combined,"Students, as % of total population",7.1
2282,Päijät-Häme,2007,female,"Employed, as % of total population",40.4
2283,Päijät-Häme,2007,female,"Students, as % of total population",7.1
2284,Päijät-Häme,2007,male,"Employed, as % of total population",45.7
2285,Päijät-Häme,2007,male,"Students, as % of total population",7.0
2286,Päijät-Häme,2008,combined,"Employed, as % of total population",42.6
2287,Päijät-Häme,2008,combined,"Students, as % of total population",6.9
2288,Päijät-Häme,2008,female,"Employed, as % of total population",40.9
2289,Päijät-Häme,2008,female,"Students, as % of total population",6.9
2290,Päijät-Häme,2008,male,"Employed, as % of total population",44.4
2291,Päijät-Häme,2008,male,"Students, as % of total population",6.8
2292,Päijät-Häme,2009,combined,"Employed, as % of total population",40.2
2293,Päijät-Häme,2009,combined,"Students, as % of total population",7.2
2294,Päijät-Häme,2009,female,"Employed, as % of total population",39.5
2295,Päijät-Häme,2009,female,"Students, as % of total population",7.2
2296,Päijät-Häme,2009,male,"Employed, as % of total population",40.9
2297,Päijät-Häme,2009,male,"Students, as % of total population",7.2
2298,Päijät-Häme,2010,combined,"Employed, as % of total population",40.8
2299,Päijät-Häme,2010,combined,"Students, as % of total population",7.3
2300,Päijät-Häme,2010,female,"Employed, as % of total population",39.6
2301,Päijät-Häme,2010,female,"Students, as % of total population",7.3
2302,Päijät-Häme,2010,male,"Employed, as % of total population",42.1
2303,Päijät-Häme,2010,male,"Students, as % of total population",7.3
2304,Päijät-Häme,2011,combined,"Employed, as % of total population",41.2
2305,Päijät-Häme,2011,combined,"Students, as % of total population",7.0
2306,Päijät-Häme,2011,female,"Employed, as % of total population",40.1
2307,Päijät-Häme,2011,female,"Students, as % of total population",7.1
2308,Päijät-Häme,2011,male,"Employed, as % of total population",42.4
2309,Päijät-Häme,2011,male,"Students, as % of total population",6.9
2310,Päijät-Häme,2012,combined,"Employed, as % of total population",40.7
2311,Päijät-Häme,2012,combined,"Students, as % of total population",6.9
2312,Päijät-Häme,2012,female,"Employed, as % of total population",39.9
2313,Päijät-Häme,2012,female,"Students, as % of total population",6.9
2314,Päijät-Häme,2012,male,"Employed, as % of total population",41.6
2315,Päijät-Häme,2012,male,"Students, as % of total population",6.9
2316,Päijät-Häme,2013,combined,"Employed, as % of total population",39.5
2317,Päijät-Häme,2013,combined,"Students, as % of total population",7.0
2318,Päijät-Häme,2013,female,"Employed, as % of total population",38.8
2319,Päijät-Häme,2013,female,"Students, as % of total population",7.1
2320,Päijät-Häme,2013,male,"Employed, as % of total population",40.3
2321,Päijät-Häme,2013,male,"Students, as % of total population",7.0
2322,Päijät-Häme,2014,combined,"Employed, as % of total population",38.5
2323,Päijät-Häme,2014,combined,"Students, as % of total population",6.9
2324,Päijät-Häme,2014,female,"Employed, as % of total population",37.9
2325,Päijät-Häme,2014,female,"Students, as % of total population",6.9
2326,Päijät-Häme,2014,male,"Employed, as % of total population",39.2
2327,Päijät-Häme,2014,male,"Students, as % of total population",6.8
2328,Päijät-Häme,2015,combined,"Employed, as % of total population",38.3
2329,Päijät-Häme,2015,combined,"Students, as % of total population",6.9
2330,Päijät-Häme,2015,female,"Employed, as % of total population",37.7
2331,Päijät-Häme,2015,female,"Students, as % of total population",6.9
2332,Päijät-Häme,2015,male,"Employed, as % of total population",38.9
2333,Päijät-Häme,2015,male,"Students, as % of total population",6.8
2334,Päijät-Häme,2016,combined,"Employed, as % of total population",38.6
2335,Päijät-Häme,2016,combined,"Students, as % of total population",6.7
2336,Päijät-Häme,2016,female,"Employed, as % of total population",37.6
2337,Päijät-Häme,2016,female,"Students, as % of total population",6.7
2338,Päijät-Häme,2016,male,"Employed, as % of total population",39.7
2339,Päijät-Häme,2016,male,"Students, as % of total population",6.7
2340,Päijät-Häme,2017,combined,"Employed, as % of total population",38.9
2341,Päijät-Häme,2017,combined,"Students, as % of total population",6.7
2342,Päijät-Häme,2017,female,"Employed, as % of total population",37.8
2343,Päijät-Häme,2017,female,"Students, as % of total population",6.7
2344,Päijät-Häme,2017,male,"Employed, as % of total population",40.1
2345,Päijät-Häme,2017,male,"Students, as % of total population",6.7
2346,Päijät-Häme,2018,combined,"Employed, as % of total population",39.4
2347,Päijät-Häme,2018,combined,"Students, as % of total population",6.3
2348,Päijät-Häme,2018,female,"Employed, as % of total population",38.4
2349,Päijät-Häme,2018,female,"Students, as % of total population",6.3
2350,Päijät-Häme,2018,male,"Employed, as % of total population",40.5
2351,Päijät-Häme,2018,male,"Students, as % of total population",6.3
2352,Päijät-Häme,2019,combined,"Employed, as % of total population",39.2
2353,Päijät-Häme,2019,combined,"Students, as % of total population",6.4
2354,Päijät-Häme,2019,female,"Employed, as % of total population",38.3
2355,Päijät-Häme,2019,female,"Students, as % of total population",6.4
2356,Päijät-Häme,2019,male,"Employed, as % of total population",40.2
2357,Päijät-Häme,2019,male,"Students, as % of total population",6.4
2358,Päijät-Häme,2020,combined,"Employed, as % of total population",37.7
2359,Päijät-Häme,2020,combined,"Students, as % of total population",6.6
2360,Päijät-Häme,2020,female,"Employed, as % of total population",37.0
2361,Päijät-Häme,2020,female,"Students, as % of total population",6.7
2362,Päijät-Häme,2020,male,"Employed, as % of total population",38.4
2363,Päijät-Häme,2020,male,"Students, as % of total population",6.5
2364,Päijät-Häme,2021,combined,"Employed, as % of total population",39.2
2365,Päijät-Häme,2021,combined,"Students, as % of total population",6.7
2366,Päijät-Häme,2021,female,"Employed, as % of total population",38.1
2367,Päijät-Häme,2021,female,"Students, as % of total population",6.7
2368,Päijät-Häme,2021,male,"Employed, as % of total population",40.3
2369,Päijät-Häme,2021,male,"Students, as % of total population",6.6
2370,Päijät-Häme,2022,combined,"Employed, as % of total population",39.7
2371,Päijät-Häme,2022,combined,"Students, as % of total population",6.6
2372,Päijät-Häme,2022,female,"Employed, as % of total population",38.8
2373,Päijät-Häme,2022,female,"Students, as % of total population",6.6
2374,Päijät-Häme,2022,male,"Employed, as % of total population",40.7
2375,Päijät-Häme,2022,male,"Students, as % of total population",6.6
2376,Satakunta,1990,combined,"Employed, as % of total population",44.6
2377,Satakunta,1990,combined,"Students, as % of total population",6.9
2378,Satakunta,1990,female,"Employed, as % of total population",41.2
2379,Satakunta,1990,female,"Students, as % of total population",7.4
2380,Satakunta,1990,male,"Employed, as % of total population",48.1
2381,Satakunta,1990,male,"Students, as % of total population",6.4
2382,Satakunta,1991,combined,"Employed, as % of total population",40.9
2383,Satakunta,1991,combined,"Students, as % of total population",7.4
2384,Satakunta,1991,female,"Employed, as % of total population",38.4
2385,Satakunta,1991,female,"Students, as % of total population",8.0
2386,Satakunta,1991,male,"Employed, as % of total population",43.5
2387,Satakunta,1991,male,"Students, as % of total population",6.9
2388,Satakunta,1992,combined,"Employed, as % of total population",37.7
2389,Satakunta,1992,combined,"Students, as % of total population",7.9
2390,Satakunta,1992,female,"Employed, as % of total population",35.7
2391,Satakunta,1992,female,"Students, as % of total population",8.2
2392,Satakunta,1992,male,"Employed, as % of total population",39.7
2393,Satakunta,1992,male,"Students, as % of total population",7.5
